,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,38%,240000000,180000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-20%,480000000,369000000,Don't know (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,11%,5000000,7000000,300000000,2,,,,,,,,,,,,,,,,,,,,
,-14%,84000000,54000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-100%,285000000,240000000,3000000000,3,,,,,,,,,,,,,,,,,,,,
,700%,680000000,127000000,2000000000,3,,,,,,,,,,,,,,,,,,,,
,-6%,1200000000,1200000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,50%,184560000,129192000,20000000000,3,,,,,,,,,,,,,,,,,,,,
,3%,630000000,650000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,32%,828000000,504000000,50000,3,,,,,,,,,,,,,,,,,,,,
,43%,248000000,180000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-6%,470000000,591000000,3000000000,2,,,,,,,,,,,,,,,,,,,,
,-20%,1000000000,900000000,500000,2,,,,,,,,,,,,,,,,,,,,
,16%,50000000,58000000,4E+11,2,,,,,,,,,,,,,,,,,,,,
,22%,200000000,3.5E+11,1000000000,1,,,,,,,,,,,,,,,,,,,,
,-5%,480000000,60000000,200000000,1,,,,,,,,,,,,,,,,,,,,
,-25%,1500000000,1600000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,1%,1200000000,800000000,10000000,1,,,,,,,,,,,,,,,,,,,,
,20%,620000000,600000000,200,1,,,,,,,,,,,,,,,,,,,,
,8%,148000000,112000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-38%,50000000,35000000,10000000000,2,,,,,,,,,,,,,,,,,,,,
,-40%,293000000,311000000,200,2,,,,,,,,,,,,,,,,,,,,
,-17%,100000000,125000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,25%,128000000,110000000,2000000000,2,,,,,,,,,,,,,,,,,,,,
,55%,1100000000,900000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,50%,340000000,356700000,Don't know (spontaneous),2,,,,,,,,,,,,,,,,,,,,
